번호,본부,사업소,팀,작업명,위험요인,안전조치방법,빈도,강도,위험성
1,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(1) 주상 작업 시 불안전한 자세로 인한 부상(요통), 안전교육 시행,,,
2,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(1) 주상 작업 시 불안전한 자세로 인한 부상(요통), 안전보호구(안전대) 착용,,,
3,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(1) 주상 작업 시 불안전한 자세로 인한 부상(요통), 작업 전 스트레칭 실시,,,
4,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(1) 주상 작업 시 불안전한 자세로 인한 부상(요통), 작업안전 수칙 숙지,,,
5,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(2) 신호기 아래 작업자 낙하물로 인한 다침(맞음, 물체접촉)", 안전교육 시행,,,
6,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(2) 신호기 아래 작업자 낙하물로 인한 다침(맞음, 물체접촉)", 안전보호구 착용,,,
7,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(2) 신호기 아래 작업자 낙하물로 인한 다침(맞음, 물체접촉)", 지상 작업자 또는 작업보조자 작업 ,,,
8,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(2) 신호기 아래 작업자 낙하물로 인한 다침(맞음, 물체접촉)",반경 1m 이상 이격 시행 ,,,
9,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(3) 투시지장 수목 제거작업 중 벌에 쏘이거나 뱀에 물림(중독, 기타)", 안전교육 시행,,,
10,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(3) 투시지장 수목 제거작업 중 벌에 쏘이거나 뱀에 물림(중독, 기타)", 안전보호구 착용 ,,,
11,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(3) 투시지장 수목 제거작업 중 벌에 쏘이거나 뱀에 물림(중독, 기타)", 작업 시행 전 작업 개소 두드림 등 ,,,
12,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(3) 투시지장 수목 제거작업 중 벌에 쏘이거나 뱀에 물림(중독, 기타)",유해 동물 인입 여부 확인 ,,,
13,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(4) 주상 작업 후 하강 시 불규칙한 지면에 발목 다침(기타골절), 안전교육 시행,,,
14,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(4) 주상 작업 후 하강 시 불규칙한 지면에 발목 다침(기타골절), 작업 전 스트레칭 실시,,,
15,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(4) 주상 작업 후 하강 시 불규칙한 지면에 발목 다침(기타골절), 사전 주변 환경 파악 후 작업 시행,,,
16,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(5) 주상 작업 후 하강 시 겨울철 서리로 인한 미끄러짐(넘어짐), 안전교육 시행,,,
17,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(5) 주상 작업 후 하강 시 겨울철 서리로 인한 미끄러짐(넘어짐), 안전보호구 착용,,,
18,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(5) 주상 작업 후 하강 시 겨울철 서리로 인한 미끄러짐(넘어짐), 사전 주변 환경 파악 후 작업 시행,,,
19,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(6) 작업 완료 후 안전대 해체 중 추락(떨어짐, 기타추락)", 안전교육 시행,,,
20,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(6) 작업 완료 후 안전대 해체 중 추락(떨어짐, 기타추락)", 웨어러블 에어백 등 안전보호구 및 ,,,
21,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(6) 작업 완료 후 안전대 해체 중 추락(떨어짐, 기타추락)",안전대 착용,,,
22,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(7) 역간 시설물 점검을 위해 진출입 시 경사면에서 넘어짐(넘어짐), 안전교육 시행,,,
23,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(7) 역간 시설물 점검을 위해 진출입 시 경사면에서 넘어짐(넘어짐), 작업 전 스트레칭 실시,,,
24,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,(7) 역간 시설물 점검을 위해 진출입 시 경사면에서 넘어짐(넘어짐), 사전 주변 환경 파악 후 작업 시행,,,
25,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(8) 웨어러블 에어백 착용 작업 시 행동 둔화 및 불균형으로 인한 추락, 부딪힘(부딪힘, 불균형 및 무리한 동작)", 안전교육 시행,,,
26,경북본부,안동신호제어사업소,,신호기장치 점검․보수작업,"(8) 웨어러블 에어백 착용 작업 시 행동 둔화 및 불균형으로 인한 추락, 부딪힘(부딪힘, 불균형 및 무리한 동작)", 에어러블 에어백 착용 방법 및 교육,,,
