번호,본부,사업소,팀,작업명,위험요인,안전조치방법
1,광주본부,광주전기사업소,변전팀,변압기 진단점검,측정장비가 중량물로 운반ㆍ이동 및 차량적재 등 취급 시 다칠 우려가 있다,중량물 취급 안전교육 시행
2,광주본부,광주전기사업소,변전팀,변압기 진단점검,측정장비가 중량물로 운반ㆍ이동 및 차량적재 등 취급 시 다칠 우려가 있다,중량물표지 부착
3,광주본부,광주전기사업소,변전팀,변압기 진단점검,측정장비가 중량물로 운반ㆍ이동 및 차량적재 등 취급 시 다칠 우려가 있다,2인 1조 취급
4,광주본부,광주전기사업소,변전팀,변압기 진단점검,야간 장거리 차량이동으로 교통안전사고의 위험이 있다.,"운전자의 상태 확인(휴양, 컨디션 등)"
5,광주본부,광주전기사업소,변전팀,변압기 진단점검,야간 장거리 차량이동으로 교통안전사고의 위험이 있다.,운전자 안전교육(과속엄금 등)
6,광주본부,광주전기사업소,변전팀,변압기 진단점검,야간 장거리 차량이동으로 교통안전사고의 위험이 있다.,보조석 탑승자의 전방감시 보조
7,광주본부,광주전기사업소,변전팀,변압기 진단점검,야간 장거리 차량이동으로 교통안전사고의 위험이 있다.,졸음운전방지기구 설치 운영 중
8,광주본부,광주전기사업소,변전팀,변압기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 안전사고의 위험이 있다.,이산화탄소소화설비 안전교육
9,광주본부,광주전기사업소,변전팀,변압기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 안전사고의 위험이 있다.,솔레노이드 연동밸드 잠금 등 안전조치 후 기능실 출입
10,광주본부,광주전기사업소,변전팀,변압기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 안전사고의 위험이 있다.,출입 전 지속 환기 및 산소농도 측정
11,광주본부,광주전기사업소,변전팀,변압기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 안전사고의 위험이 있다.,작업 중 싸이렌 발생 시 30초 이내 대피 교육
12,광주본부,광주전기사업소,변전팀,변압기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 안전사고의 위험이 있다.,작업종료 후 원상조치 시 반드시 작업현장에서 작업원 철수 후 조작
