번호,본부,사업소,팀,작업명,위험요인,안전조치방법,빈도,강도,위험성
1,대전충남본부,계룡신호사업소,,업무용 자동차 운행,졸음운전 우려,일정한 휴식,,,
2,대전충남본부,계룡신호사업소,,업무용 자동차 운행,졸음운전 우려,교대운전,,,
3,대전충남본부,계룡신호사업소,,업무용 자동차 운행,졸음운전 우려,환기조치,,,
4,대전충남본부,계룡신호사업소,,업무용 자동차 운행,졸음운전 우려,"종, 지압기 비치",,,
5,대전충남본부,계룡신호사업소,,업무용 자동차 운행,빗길운전 미끄럼짐 우려,감속운전,,,
6,대전충남본부,계룡신호사업소,,업무용 자동차 운행,빗길운전 미끄럼짐 우려,감속운전,,,
7,대전충남본부,계룡신호사업소,,업무용 자동차 운행,장애발생 시 과속 우려,동승장의 알림,,,
8,대전충남본부,계룡신호사업소,,업무용 자동차 운행,장애발생 시 과속 우려,속도제한 표시 부착,,,
9,대전충남본부,계룡신호사업소,,업무용 자동차 운행,빙판길 운전 중 미끄러짐 우려,스노우타이어 교체,,,
10,대전충남본부,계룡신호사업소,,업무용 자동차 운행,빙판길 운전 중 미끄러짐 우려,스노우타이어 교체,,,
11,대전충남본부,계룡신호사업소,,신호설비 주변 제초작업,예초기 사용 중 자갈 튐 우려,안전보호구 착용,,,
12,대전충남본부,계룡신호사업소,,신호설비 주변 제초작업,낫 사용 중 베임 우려,안전장갑 착용,,,
13,대전충남본부,계룡신호사업소,,신호설비 주변 제초작업,예초기 사용,안전보호구 착용,,,
14,대전충남본부,계룡신호사업소,,신호설비 주변 제초작업,작업 중 파충류 및 해충 피해 우려,해충 기피제 사용,,,
15,대전충남본부,계룡신호사업소,,청소 및 환경정리,장애물 걸림 우려,지장물 제거,,,
16,대전충남본부,계룡신호사업소,,청소 및 환경정리,장애물 걸림 우려,지적확인 철저,,,
17,대전충남본부,계룡신호사업소,,청소 및 환경정리,중량물 취급 중 근골격계 질환 발생 우려,작업전 스트레칭,,,
18,대전충남본부,계룡신호사업소,,청소 및 환경정리,중량물 취급 중 근골격계 질환 발생 우려,2인 1조 작업,,,
19,대전충남본부,계룡신호사업소,,청소 및 환경정리,모서리에 찍힘 우려,모서리 보호막 부착,,,
20,대전충남본부,계룡신호사업소,,청소 및 환경정리,모서리에 찍힘 우려,모서리 보호막 부착,,,
21,대전충남본부,계룡신호사업소,,청소 및 환경정리,날카로운 물품에 베임 우려,안전장감 착용,,,
22,대전충남본부,계룡신호사업소,,청소 및 환경정리,날카로운 물품에 베임 우려,안전장감 착용,,,
23,대전충남본부,계룡신호사업소,,청소 및 환경정리,중량물 낙하 우려,안저모 착용,,,
24,대전충남본부,계룡신호사업소,,청소 및 환경정리,중량물 낙하 우려,중량물 경고표지 부착,,,
25,대전충남본부,계룡신호사업소,,청소 및 환경정리,중량물 낙하 우려,중량물 적제상태 확인,,,
26,대전충남본부,계룡신호사업소,,지장수목 제거,"낫, 톱 사용으로 베임 우려",안전장갑 착용,,,
27,대전충남본부,계룡신호사업소,,지장수목 제거,작업 중 가시에 찔림 우려,안전보호구 착용,,,
28,대전충남본부,계룡신호사업소,,지장수목 제거,수목 운반 중 긁힘 우려,"팔토시, 긴팔 착용",,,
29,대전충남본부,계룡신호사업소,,신호기장치 점검보수 작업,고소작업 시 떨어짐 우려,안전요대 착용,,,
30,대전충남본부,계룡신호사업소,,신호기장치 점검보수 작업,공구 각하로 인한 하부 작업자 부상 우려,하부작업자 안전거리 확보,,,
31,대전충남본부,계룡신호사업소,,신호기장치 점검보수 작업,단자 접촉 우려,절연장갑 착용,,,
32,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,상판에 미끄러짐 우려,지적확인 철저,,,
33,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,상판에 미끄러짐 우려,상판 도보 금지,,,
34,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,간류 또는 레일에 걸림 우려,간류부 비접촉,,,
35,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,간류 또는 레일에 걸림 우려,전방주시 철저,,,
36,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,점검 중 열차 충돌 우려,전기설비 확인,,,
37,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,점검 중 열차 충돌 우려,열차감시앱 사용,,,
38,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,할핀 등에 베임 우려,안전보호구 착용,,,
39,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,할핀 등에 베임 우려,할핀 방향 확인 철저,,,
40,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,유해물질 취급,MSDS교육,,,
41,대전충남본부,계룡신호사업소,,선로전환기 점검보수 작업,유해물질 취급,안전보호구 착용,,,
42,대전충남본부,계룡신호사업소,,궤도회로장치 점검보수 작업,본드핀 설치시 손가락 망치 타격 우려,안전장갑 착용,,,
43,대전충남본부,계룡신호사업소,,궤도회로장치 점검보수 작업,점검 중 열차 충돌 우려,전기설비 확인,,,
44,대전충남본부,계룡신호사업소,,궤도회로장치 점검보수 작업,점검 중 열차 충돌 우려,열차감시앱 사용,,,
45,대전충남본부,계룡신호사업소,,궤도회로장치 점검보수 작업,중량물 취급 중 근골격계 질환 발생 우려,작업전 스트레칭,,,
46,대전충남본부,계룡신호사업소,,궤도회로장치 점검보수 작업,중량물 취급 중 근골격계 질환 발생 우려,2인 1조 작업,,,
47,대전충남본부,계룡신호사업소,,궤도회로장치 점검보수 작업,유해물질 취급,MSDS교육,,,
48,대전충남본부,계룡신호사업소,,궤도회로장치 점검보수 작업,유해물질 취급,안전보호구 착용,,,
49,대전충남본부,계룡신호사업소,,건널목보안장치 점검보수 작업,점검 중 열차 충돌 우려,전기설비 확인,,,
50,대전충남본부,계룡신호사업소,,건널목보안장치 점검보수 작업,점검 중 열차 충돌 우려,열차감시앱 사용,,,
