번호,본부,사업소,팀,작업명,위험요인,안전조치방법,빈도,강도,위험성
1,수도권서부본부,영등포전기사업소,변전팀,행정업무,서류작업 중 베임,안전교육 시행,1,2,2
2,수도권서부본부,영등포전기사업소,변전팀,행정업무,"캐비닛, 서랍 등에 손가락 끼임",안전교육 시행,1,2,2
3,수도권서부본부,영등포전기사업소,변전팀,행정업무,"칼, 가위 등 사무용품 사용 중 베임",안전교육 시행,1,2,2
4,수도권서부본부,영등포전기사업소,변전팀,행정업무,제본기 사용 중 손가락 끼임,안전교육 시행,1,3,3
5,수도권서부본부,영등포전기사업소,변전팀,행정업무,사무기기 전원부 먼지로 인한 화재 위험,주기적인 사무기기 청소,1,3,3
6,수도권서부본부,영등포전기사업소,변전팀,행정업무,과도한 멀티탭 사용에 따른 화재위험,적정 부하용량 확인 및 사용,1,3,3
7,수도권서부본부,영등포전기사업소,변전팀,행정업무,젖은 손으로 콘센트 등 충전부 취급 시 감전 위험,안전보호구 착용 철저,1,3,3
8,수도권서부본부,영등포전기사업소,변전팀,행정업무,강력접착제 등 화학물질 접촉,안전보호구 착용 철저,1,3,3
9,수도권서부본부,영등포전기사업소,변전팀,행정업무,장시간 모니터 응시로 시력 저하,휴식시간 확보,1,3,3
10,수도권서부본부,영등포전기사업소,변전팀,행정업무,장시간 작업 시 근골격계 질환 우려,스트레칭,1,3,3
11,수도권서부본부,영등포전기사업소,변전팀,행정업무,"동일한 자세로 장시간 작업하여 터널증후군, 거북목, 시력저하 등 발생 ",스트레칭,3,2,6
12,수도권서부본부,영등포전기사업소,변전팀,행정업무,선반 물품 낙하로 인한 부딪힘,선반 상부 물품 적재 금지,1,3,3
13,수도권서부본부,영등포전기사업소,변전팀,차량운행,교통사고,신호 준수,1,2,2
13,수도권서부본부,영등포전기사업소,변전팀,차량운행,교통사고,방어운전,1,2,2
14,수도권서부본부,영등포전기사업소,변전팀,차량운행,장거리 이동 시 졸음운전 발생,동승자와 교대운전,2,2,4
15,수도권서부본부,영등포전기사업소,변전팀,도보이동,"이물질(물, 기름)에 의한 미끄러짐",작업 전·후 정리정돈,1,2,2
15,수도권서부본부,영등포전기사업소,변전팀,도보이동,"이물질(물, 기름)에 의한 미끄러짐",이동 중 전방주시 철저,1,2,2
