번호,본부,사업소,팀,작업명,위험요인,안전조치방법,빈도,강도,위험성
1,서울본부,서울전기사업소,변전팀,컴퓨터를 활용한 장시간 입출력 작업,장시간 키보드 입력으로 인한 손목 통증,키보드,2,2,4
1,서울본부,서울전기사업소,변전팀,컴퓨터를 활용한 장시간 입출력 작업,장시간 키보드 입력으로 인한 손목 통증, 마우스 등 입출력 기기 교체,2,2,4
2,서울본부,서울전기사업소,변전팀,컴퓨터를 활용한 장시간 입출력 작업,장시간 모니터 시청으로 인한 거북복 증상,개인 쉬는 시간 및 스트레칭 ,1,3,3
3,서울본부,서울전기사업소,변전팀,업무용차량 운행,중량물 상·하차 시 무리한 동작으로 근·골격계 질환 유발 가능성,작업 전 스트레칭,2,2,4
4,서울본부,서울전기사업소,변전팀,업무용차량 운행,중량물 상·하차 시 무리한 동작으로 근·골격계 질환 유발 가능성,2인 1조 작업,2,2,4
5,서울본부,서울전기사업소,변전팀,업무용차량 운행,화물 고정 시 화물 고정끈과 화물 사이 손끼임 위험,2인 1조 작업,2,3,6
6,서울본부,서울전기사업소,변전팀,업무용차량 운행,도로 결빙 및 극한 기후에 따른 교통사고 위험,스노우타이어 설치,2,2,4
7,서울본부,서울전기사업소,변전팀,업무용차량 운행,도로 결빙 및 극한 기후에 따른 교통사고 위험,운행 안전수칙 준수,2,2,4
8,서울본부,서울전기사업소,변전팀,업무용차량 운행,도로 결빙 및 극한 기후에 따른 교통사고 위험,일기예보 청취,2,2,4
9,서울본부,서울전기사업소,변전팀,업무용차량 운행,도로 결빙 및 극한 기후에 따른 교통사고 위험,동절기 업무용 차량 안전사고 예방교육 실시,2,2,4
10,서울본부,서울전기사업소,변전팀,업무용차량 운행,초행길 운전미숙 및 도로상태 파악 미숙에 따른 교통사고 위험,운행 안전수칙 준수(서행,2,3,6
10,서울본부,서울전기사업소,변전팀,업무용차량 운행,초행길 운전미숙 및 도로상태 파악 미숙에 따른 교통사고 위험, 방어운전),2,3,6
11,서울본부,서울전기사업소,변전팀,업무용차량 운행,야간작업 후 졸음운전 또는 직사광선에 의한 눈부심에 따른 교통사고 위험,전/후 교대 운전으로 피로도 경감,2,2,4
12,서울본부,서울전기사업소,변전팀,업무용차량 운행,야간작업 후 졸음운전 또는 직사광선에 의한 눈부심에 따른 교통사고 위험,햇빛가리개 활용,2,2,4
13,서울본부,서울전기사업소,변전팀,업무용차량 운행,관용차 하차 시 전도 위험,하차 시 주차장 노면 주의,1,3,3
14,서울본부,서울전기사업소,변전팀,창고정리,중량물 운반 중 근골격계 부상 위험,산업안전보건교육 ,2,2,4
14,서울본부,서울전기사업소,변전팀,창고정리,중량물 운반 중 근골격계 부상 위험,중량물 취급시 2인1조작업,2,2,4
15,서울본부,서울전기사업소,변전팀,창고정리,"날카로운 공구, 자재에 찔림 및 베임",안전보호구 착용,3,1,3
15,서울본부,서울전기사업소,변전팀,창고정리,"날카로운 공구, 자재에 찔림 및 베임", 전용 덮개 사용,3,1,3
16,서울본부,서울전기사업소,변전팀,창고정리,선반 위에 물품 정리 시 낙하 위험,안전보호구 착용,2,2,4
16,서울본부,서울전기사업소,변전팀,창고정리,선반 위에 물품 정리 시 낙하 위험, 정리정돈,2,2,4
17,서울본부,서울전기사업소,변전팀,실외작업(폭염에 의한 온열질환 등 포함),탈수 및 탈진,식염포도당 배포,4,2,8
18,서울본부,서울전기사업소,변전팀,실외작업(폭염에 의한 온열질환 등 포함),폭염에 장시간 노출된 장비 접촉시 화상,장갑착용,4,1,4
19,서울본부,서울전기사업소,변전팀,실외작업(폭염에 의한 온열질환 등 포함),과도한 자외선 노출로 인한 피부질환,쿨토시,4,1,4
19,서울본부,서울전기사업소,변전팀,실외작업(폭염에 의한 온열질환 등 포함),과도한 자외선 노출로 인한 피부질환, 선캡,4,1,4
20,서울본부,서울전기사업소,변전팀,작업장 등 통로이동,공조실 및 전기실 통과시 머리 부딪힘,이동시 천정 확인 철저,3,2,6
21,서울본부,서울전기사업소,변전팀,작업장 등 통로이동,트렌치 상부 이동시 발빠짐,트렌치 커버 이상여부 점검,3,2,6
22,서울본부,서울전기사업소,변전팀,작업장 등 통로이동,중량물 운반시 허리 부상,중량물용 수레 활용,2,3,6
23,서울본부,서울전기사업소,변전팀,작업장 등 통로이동,경사로 이동시 미끄러짐,경사로에 미끄럼 방지 물품 설치,3,1,3
24,서울본부,서울전기사업소,변전팀,변압기 점검,변압기 상부 고소 작업 중 추락,보호구 착용,2,3,6
24,서울본부,서울전기사업소,변전팀,변압기 점검,변압기 상부 고소 작업 중 추락, 조도 확보 및 이동경로 시야 확보,2,3,6
25,서울본부,서울전기사업소,변전팀,변압기 점검,계측기 사용시 감전 위험,산업안전보건교육,1,3,3
25,서울본부,서울전기사업소,변전팀,변압기 점검,계측기 사용시 감전 위험, 지적확인 환호응답 철저,1,3,3
26,서울본부,서울전기사업소,변전팀,변압기 점검,변압기 상부 구조물에 부딪힘.,보호구 착용,2,2,4
26,서울본부,서울전기사업소,변전팀,변압기 점검,변압기 상부 구조물에 부딪힘., 조도 확보,2,2,4
27,서울본부,서울전기사업소,변전팀,변압기 점검,계측기 운반 시 근골격계 질환 유발 가능,스트레칭 실시 ,3,2,6
27,서울본부,서울전기사업소,변전팀,변압기 점검,계측기 운반 시 근골격계 질환 유발 가능,2인 1조 작업,3,2,6
28,서울본부,서울전기사업소,변전팀,변압기 점검,변압기 상부 작업 중 공구류 낙하에 의한 부상,보호구 착용,2,3,6
28,서울본부,서울전기사업소,변전팀,변압기 점검,변압기 상부 작업 중 공구류 낙하에 의한 부상, 작업자간 의사소통,2,3,6
29,서울본부,서울전기사업소,변전팀,변압기 점검,충전부 접속에 의한 감전사고 위험,단전 확인,2,3,6
29,서울본부,서울전기사업소,변전팀,변압기 점검,충전부 접속에 의한 감전사고 위험, 작업전 접지설치,2,3,6
30,서울본부,서울전기사업소,변전팀,진공차단기점검,계측기 사용 중 감전위험,작업전 계측기 점검,2,3,6
30,서울본부,서울전기사업소,변전팀,진공차단기점검,계측기 사용 중 감전위험, 지적확인 환호응답 철저,2,3,6
31,서울본부,서울전기사업소,변전팀,진공차단기점검,배전반 내부작업 중 부딪힘,보호구 착용,2,2,4
32,서울본부,서울전기사업소,변전팀,진공차단기점검,볼트 조임 작업시 감전위험,직무교육 실시,2,2,4
33,서울본부,서울전기사업소,변전팀,진공차단기점검,차단기 투개방시 난청 위험,귀마개 사용,2,2,4
34,서울본부,서울전기사업소,변전팀,진공차단기점검,계측기 이동시 근골격계 질환 유발,2인 이상 작업,1,2,2
35,서울본부,서울전기사업소,변전팀,진공차단기점검,진공차단기 인입인출 시 끼임 위험,안전보호구 착용,2,2,4
36,서울본부,서울전기사업소,변전팀,단로기점검,단전확인 소홀시 감전위험,작업전 접지걸이 설치,1,3,3
37,서울본부,서울전기사업소,변전팀,단로기점검,계측기 중량으로 인한 근골격계 질환 위험,2인 1조 작업,2,2,4
37,서울본부,서울전기사업소,변전팀,단로기점검,계측기 중량으로 인한 근골격계 질환 위험, 작업전 스트레칭,2,2,4
38,서울본부,서울전기사업소,변전팀,단로기점검,수동 단로기 투개방 중 부딪힘 위험,안전보호구 착용,2,1,2
39,서울본부,서울전기사업소,변전팀,단로기점검,동력 단로기 투개방 중 끼임 위험,직무교육 실시,3,2,6
39,서울본부,서울전기사업소,변전팀,단로기점검,동력 단로기 투개방 중 끼임 위험, 지적확인 환호응답 철저,3,2,6
40,서울본부,서울전기사업소,변전팀,단로기점검,투개방 시험 시 소음으로 인한 청각장해,귀마개 착용,2,2,4
41,서울본부,서울전기사업소,변전팀,단로기점검,GIS 상부 작업시 추락 위험,직무교육 실시,3,1,3
41,서울본부,서울전기사업소,변전팀,단로기점검,GIS 상부 작업시 추락 위험, 안전보호구 착용,3,1,3
42,서울본부,서울전기사업소,변전팀,단로기점검,"협소한 공간에서 작업시 부딪힘, 끼임 위험",안전보호구 착용,2,2,4
43,서울본부,서울전기사업소,변전팀,고압정류기 점검,작업 중 추락 위험,안전보호구 착용,4,2,8
44,서울본부,서울전기사업소,변전팀,고압정류기 점검,비정상기능 계측기 사용(감전),직무교육 실시,1,4,4
45,서울본부,서울전기사업소,변전팀,고압정류기 점검,협소한 정류기 내부 작업시 접촉에 의한 신체손상,작업 전 계통 숙지,1,4,4
46,서울본부,서울전기사업소,변전팀,고압정류기 점검,교류용 검전기 사용으로 인한 감전,직무교육 실시,1,4,4
47,서울본부,서울전기사업소,변전팀,직류고속도차단기 점검,협소한 차단기 내부 작업 시 접촉에 의한 신체손상,안전보호구 착용,1,4,4
48,서울본부,서울전기사업소,변전팀,직류고속도차단기 점검,검전기 오용으로 인한 감전,계통확인 철저 및 계측기 사용방법 숙지,1,4,4
49,서울본부,서울전기사업소,변전팀,직류고속도차단기 점검,중량물 이동 및 작업 시 신체 끼임,2인 1조 작업,4,1,4
50,서울본부,서울전기사업소,변전팀,직류고속도차단기 점검,특고압에 의한 감전우려,작업 전 단전 확인 및 계통도 숙지,1,4,4
51,서울본부,서울전기사업소,변전팀,고체절연개폐장치 점검,상부 고소작업시 떨어짐 사고,안전보호구 착용,2,3,6
52,서울본부,서울전기사업소,변전팀,고체절연개폐장치 점검,진단장비 및 케이블 운반시 근골겨계 질환 위험,직무교육,2,3,6
52,서울본부,서울전기사업소,변전팀,고체절연개폐장치 점검,진단장비 및 케이블 운반시 근골겨계 질환 위험, 스트레칭실시,2,3,6
52,서울본부,서울전기사업소,변전팀,고체절연개폐장치 점검,진단장비 및 케이블 운반시 근골겨계 질환 위험, 2인1조작업,2,3,6
53,서울본부,서울전기사업소,변전팀,고체절연개폐장치 점검,협소한 SIS 내부 작업시 접촉에 의한 신체손실,안전보호구 착용,2,2,4
54,서울본부,서울전기사업소,변전팀,고체절연개폐장치 점검,접지걸이 오취부로 인한 감점,안전보호구 착용,1,4,4
54,서울본부,서울전기사업소,변전팀,고체절연개폐장치 점검,접지걸이 오취부로 인한 감점,검전기로 단전확인,1,4,4
55,서울본부,서울전기사업소,변전팀,고체절연개폐장치 점검,측정기구 고압케이블 노출부에 감전,안전보호구 착용,1,4,4
56,서울본부,서울전기사업소,변전팀,축전지 및 충전장치 점검,노후 축전지 충격으로 인한 폭발,노후 축전지 추적관찰,1,3,3
57,서울본부,서울전기사업소,변전팀,축전지 및 충전장치 점검,증류수 등 중량물 취급시 불안정한 자세로 인한 부상,중량물 취급시 2인 1조 작업,2,2,4
58,서울본부,서울전기사업소,변전팀,축전지 및 충전장치 점검,충전부 접촉 및 혼촉으로 인한 감전,충전부 접근 금지,2,2,4
59,서울본부,서울전기사업소,변전팀,축전지 및 충전장치 점검,비정상 계측기 사용으로 인한 장애유발,작업 전 계측기 점검,2,2,4
60,서울본부,서울전기사업소,변전팀,원격감시제어장치 점검,작업공간 협소로 인한 끼임 또는 부딪힘,안전보호장구 착용,1,3,3
61,서울본부,서울전기사업소,변전팀,원격감시제어장치 점검,점검 시 발판 및 전선 뭉치에 의한 미끄러짐,이동시 바닥 확인 철저,2,2,4
62,서울본부,서울전기사업소,변전팀,원격감시제어장치 점검,"공구 사용 시 공구에 의한 절단,베임,찔림",안전보호장구 착용,2,2,4
63,서울본부,서울전기사업소,변전팀,원격감시제어장치 점검,입력 및 제어 전원 점검 시 감전 위험,검전기로 단전여부 확인,1,3,3
64,서울본부,서울전기사업소,변전팀,가스절연개폐장치 점검,협소한 배전반 내부 작업 시 접촉에 의한 협착 및 손끼임,안전보호장구 착용,2,3,6
65,서울본부,서울전기사업소,변전팀,가스절연개폐장치 점검,케이블 접속부 볼트 조임 작업 시 작업 공구에 의한 신체 손상,안전보호장구 착용,2,2,4
66,서울본부,서울전기사업소,변전팀,가스절연개폐장치 점검,"케이블 접속부 충전부 접근, 접촉에 의한 감전",검전기로 단전 확인,2,3,6
67,서울본부,서울전기사업소,변전팀,가스절연개폐장치 점검,이동 점검 중 머리 부딪힘 위험,이동시 상부 확인,2,2,4
68,서울본부,서울전기사업소,변전팀,가스절연개폐장치 점검,SF6가스 운반중 부상,SF6가스 운반기구 사용,2,3,6
69,서울본부,서울전기사업소,변전팀,가스절연개폐장치 점검,진공차단기 투개방시 120db이상 소음,귀마개 착용,2,2,4
70,서울본부,서울전기사업소,변전팀,가스절연개폐장치 점검,"29kV 더미케이블 창착, 탈거 시 추락 및 공구 등에 맞을 위험있음",2인 1조작업,4,3,12
71,서울본부,서울전기사업소,변전팀,피뢰기 점검,무리한 힘을 가하거나 기기손상에 따른 위험,위험예지훈련 실시,2,2,4
72,서울본부,서울전기사업소,변전팀,피뢰기 점검,협소한 배전반 내부 작업 중 혼촉으로 인한 위험,안전보호구 착용,2,1,2
73,서울본부,서울전기사업소,변전팀,피뢰기 점검,부하상태에서 조작으로 감전 위험,검전기로 단전확인,2,3,6
74,서울본부,서울전기사업소,변전팀,피뢰기 점검,누전으로 인한 감전위험,차단기 개방 후 작업,2,2,4
75,서울본부,서울전기사업소,변전팀,피뢰기 점검,고속작업으로 인한 추락위험,난간 및 안전보호구 착용,1,3,3
76,서울본부,서울전기사업소,변전팀,압축공기 발생장치 점검,모터구동 중 손끼임 등 부상,안전보호구 착용,2,3,6
77,서울본부,서울전기사업소,변전팀,압축공기 발생장치 점검,배관계통 분리 시 압축공기 미완전 배출로 인한 부상,가스완전배출 후 작업 ,1,2,2
78,서울본부,서울전기사업소,변전팀,압축공기 발생장치 점검,전기 스위치 등 감전으로 부상,전기스위치 개방,2,2,4
79,서울본부,서울전기사업소,변전팀,압축공기 발생장치 점검,누전으로 감전,차단기 개방 후 작업 ,2,3,6
80,서울본부,서울전기사업소,변전팀,압축공기 발생장치 점검,위험물질(노르말부탄) 흡입으로 인한 질식,환기 철저,3,1,3
81,서울본부,서울전기사업소,변전팀,이례사항 발생 시,비상상황 시 차량운전 중 과속으로 인한 교통사고 위험,전도주시,2,2,4
82,서울본부,서울전기사업소,변전팀,이례사항 발생 시,비상상황 시 급한 움직임에 의한 부딪힘 및 전도 등 안전사고 위험,이동동선 확인,2,2,4
83,서울본부,서울전기사업소,변전팀,이례사항 발생 시,비정상기능 계측기 사용(감전),직무교육 실시,2,2,4
84,서울본부,서울전기사업소,변전팀,이례사항 발생 시,계통오인으로 인하여 급전 중 접촉에 의한 감전,작업 전 단전 확인 및 계통도 숙지,2,2,4
85,서울본부,서울전기사업소,변전팀,이례사항 발생 시,중량물에 의한 부상위험,안전보호구 착용,2,2,4
86,서울본부,서울전기사업소,변전팀,이례사항 발생 시,고양SS 피트층 사다리 사용시 떨어질뻔함,안전보호구 착용,3,3,9
87,서울본부,서울전기사업소,서울전기,전차선로 차상점검,선로횡단 중 열차에 접촉 사망,지적확인환호응답 실시,1,4,4
88,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 이동시 작업자 시설물(가동브래킷)충격,작업 전 안전교율,2,3,6
88,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 이동시 작업자 시설물(가동브래킷)충격,업무프로세스 개선 (모터카 출발 시 호각신호),2,3,6
89,서울본부,서울전기사업소,서울전기,전차선로 차상점검,"야간 선로횡단 중 걸림, 넘어짐에 의한 부상", 직무안전교육실시,2,2,4
89,서울본부,서울전기사업소,서울전기,전차선로 차상점검,"야간 선로횡단 중 걸림, 넘어짐에 의한 부상", 선로횡단 시 시야확보를 위한 안전모 헤드라이트 부착,2,2,4
89,서울본부,서울전기사업소,서울전기,전차선로 차상점검,"야간 선로횡단 중 걸림, 넘어짐에 의한 부상", 자재운반시 선로장애물 감시를 위한 2인1조 이동,2,2,4
90,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 탑승 시 미끄러짐으로 인한 부상, 안전보호구 착용,1,2,2
90,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 탑승 시 미끄러짐으로 인한 부상, 상부작업대 미끄럼방치 어리,1,2,2
91,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 운행 중 전방감시 소홀로 인한 접촉 및 추락 사고, 안전보호구 착용,2,3,6
91,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 운행 중 전방감시 소홀로 인한 접촉 및 추락 사고, 안전교육 실시,2,3,6
91,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 운행 중 전방감시 소홀로 인한 접촉 및 추락 사고, 이동시 전방 조명등 담당 배치,2,3,6
91,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 운행 중 전방감시 소홀로 인한 접촉 및 추락 사고, 충돌우려 시설물 발견 시 머리 구호로 전 작업원에게 알림,2,3,6
91,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 운행 중 전방감시 소홀로 인한 접촉 및 추락 사고, 모터카 이동 전 작업자 전원 착석 확인,2,3,6
91,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 운행 중 전방감시 소홀로 인한 접촉 및 추락 사고, 전방감시 담당 지정,2,3,6
92,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 인출 작업 시 다른 열차와 웅돌로 인한 부딪힘 및 추락사고, 웨어러블 에어백 안전조끼 착용,1,4,4
92,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 인출 작업 시 다른 열차와 웅돌로 인한 부딪힘 및 추락사고," 안전그네, 안전고리 모터카 작업대 안전난간에 체결",1,4,4
92,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 인출 작업 시 다른 열차와 웅돌로 인한 부딪힘 및 추락사고, 로컬관제와 현재 작업 상황 및 열차운행 상황 공유,1,4,4
92,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 인출 작업 시 다른 열차와 웅돌로 인한 부딪힘 및 추락사고, 차상점검 시 열차접근앱 활용,1,4,4
92,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 인출 작업 시 다른 열차와 웅돌로 인한 부딪힘 및 추락사고, 인접선로 차단 확보,1,4,4
92,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 인출 작업 시 다른 열차와 웅돌로 인한 부딪힘 및 추락사고, 인접선 차단 확보가 안된 경우 상부작업대 회전 금지,1,4,4
93,서울본부,서울전기사업소,서울전기,전차선로 차상점검,모터카 작업대 탑승 시 감전,검전기로 단전 확인,1,4,4
94,서울본부,서울전기사업소,서울전기,도보순회,"선로 순회 시, 선로전환기 협착",지적확인환호응답 실시,1,3,3
94,서울본부,서울전기사업소,서울전기,도보순회,"선로 순회 시, 선로전환기 협착",전도주시 철저,1,3,3
94,서울본부,서울전기사업소,서울전기,도보순회,"선로 순회 시, 선로전환기 협착",사전 위험개소 파악 및 회피,1,3,3
94,서울본부,서울전기사업소,서울전기,도보순회,"선로 순회 시, 선로전환기 협착",안전보호구 착용,1,3,3
94,서울본부,서울전기사업소,서울전기,도보순회,"선로 순회 시, 선로전환기 협착",전방주시 철저,1,3,3
94,서울본부,서울전기사업소,서울전기,도보순회,"선로 순회 시, 선로전환기 협착",안전교육 실시,1,3,3
95,서울본부,서울전기사업소,서울전기,도보순회,"선로 순회 시, 열차 접촉",지적확인환호응답 실시,1,4,4
95,서울본부,서울전기사업소,서울전기,도보순회,"선로 순회 시, 열차 접촉",열차감시 철저,1,4,4
