번호,본부,사업소,팀,작업명,위험요인,안전조치방법,빈도,강도,위험성
1,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),구축물 부재 탈락으로 인한 맞음,볼트류 접속 상태 확인,,,
1,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),구축물 부재 탈락으로 인한 맞음,안전보호구 착용,,,
2,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),구조물(철탑) 승하강시 떨어짐,안전보호구 착용 및 작업 전 스트레칭 실시,,,
2,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),구조물(철탑) 승하강시 떨어짐,승주발판의 덤불/잡초제거 등 안전확보 후 작업,,,
2,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),구조물(철탑) 승하강시 떨어짐,추락 방지대 및 웨어러블 조끼 활용,,,
2,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),구조물(철탑) 승하강시 떨어짐,드론을 활용한 점검 시행,,,
3,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,상부작업자 공구집 착용 및 수납 철저,,,
3,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,안전보호구 착용,,,
3,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,상/하부 작업자간 협의 철저 및 작업 반경 내 접근 금지,,,
4,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),경과지 이동 시 급경사로 인한 넘어짐,안전보호구 착용,,,
4,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),경과지 이동 시 급경사로 인한 넘어짐,경과지도 숙지 및 안전한 이동 경로 선택,,,
5,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"지장수목 및 제초시 회전체 공기구 및 수공구(낫,톱 등)에 의한 신체 절단, 베임, 찔림",안전보호구 착용,,,
5,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"지장수목 및 제초시 회전체 공기구 및 수공구(낫,톱 등)에 의한 신체 절단, 베임, 찔림",작업 중 반경 내 접근금지,,,
6,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),가공선로 드론 점검 중 드론과의 부딪힘,안전보호구 착용,,,
6,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),가공선로 드론 점검 중 드론과의 부딪힘,넓고 안전한 지역에서 드론과 거리 두고 합동 작업 시행,,,
6,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),가공선로 드론 점검 중 드론과의 부딪힘,기상 여건 고려 후 운행,,,
6,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),가공선로 드론 점검 중 드론과의 부딪힘,주기적 운용교육 시행,,,
7,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),가압부에 작업공구 및 신체접촉으로 인한 감전,절연장갑 착용,,,
7,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),가압부에 작업공구 및 신체접촉으로 인한 감전,검전기로 단전 확인 후 작업,,,
7,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),가압부에 작업공구 및 신체접촉으로 인한 감전,작업장 주변 불필요한 금속성 물질 비치 금지,,,
7,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),가압부에 작업공구 및 신체접촉으로 인한 감전,절연공구 사용,,,
8,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",계통 숙지,,,
8,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",접촉식 검전기 실부하 테스트 후 사용,,,
8,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",개인 활선 경보기 착용,,,
8,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",지적확인 환호응답,,,
8,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",접지 체결,,,
8,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전","작업구간 표시(안전띠, 경광등)",,,
8,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",안전보호구 착용,,,
9,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"접근로 수풀과다 지역 독충, 독풀, 야생동물 등에 의한 사고",긴팔 긴바지 작업복에 안전보호구/장갑/각반 착용,,,
9,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"접근로 수풀과다 지역 독충, 독풀, 야생동물 등에 의한 사고",모기약(살충제)/비상약준비,,,
9,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"접근로 수풀과다 지역 독충, 독풀, 야생동물 등에 의한 사고",드론을 활용한 점검 적의 시행,,,
10,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),승하강시 반복행동에 의한 근골격계 손상,작업 전 스트레칭 실시,,,
11,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),구조물 까치집 제거 작업시 나뭇가지에 의한 찔림,보안경 일체형 안전모 착용,,,
12,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),개울가 부근 미끄러움으로 인한 넘어짐,안전보호구 착용(장화),,,
12,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),개울가 부근 미끄러움으로 인한 넘어짐,작업 전 스트레칭 실시,,,
13,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"회전체 공기구류(엔진톱,예초기 등) 정비 중 오작동으로 인한 절단, 베임, 찔림",공기구류 전원 완전 정지 후 정비,,,
13,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"회전체 공기구류(엔진톱,예초기 등) 정비 중 오작동으로 인한 절단, 베임, 찔림",안전보호구 착용,,,
14,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),회전체 공기구류 운반시 넘어짐,작업 전 스트레칭 실시,,,
14,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),회전체 공기구류 운반시 넘어짐,2인 1조 작업,,,
14,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),회전체 공기구류 운반시 넘어짐,적정 휴식 시간 부여,,,
14,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),회전체 공기구류 운반시 넘어짐,안전보호구 착용,,,
15,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"고온, 장시간 야외작업에 의한 열사병 ",장시간 작업 금지,,,
15,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"고온, 장시간 야외작업에 의한 열사병 ",충분한 휴식 및 수분(식염포도당) 섭취,,,
15,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"고온, 장시간 야외작업에 의한 열사병 ",2인이상 교대 작업,,,
15,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,수전선로 점검(가공),"고온, 장시간 야외작업에 의한 열사병 ",여름철 안전관리 대책 준수,,,
16,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),누전으로 인한 감전,"안전보호구(절연장갑, 절연화) 착용",,,
16,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),누전으로 인한 감전,검전기로 단전 확인 후 작업,,,
16,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),누전으로 인한 감전,작업장 주변 불필요한 금속성 물질 비치 금지,,,
17,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),"맨홀뚜껑 취급(개폐)시 손, 발, 허리 부상 및 반복 작업에 의한 근골격계 손상",안전보호구 착용,,,
17,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),"맨홀뚜껑 취급(개폐)시 손, 발, 허리 부상 및 반복 작업에 의한 근골격계 손상",2인 이상 작업,,,
17,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),"맨홀뚜껑 취급(개폐)시 손, 발, 허리 부상 및 반복 작업에 의한 근골격계 손상",작업 전 스트레칭 실시,,,
17,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),"맨홀뚜껑 취급(개폐)시 손, 발, 허리 부상 및 반복 작업에 의한 근골격계 손상",맨홀 뚜껑 개폐기 사용,,,
18,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),차량 미통제로 인한 교통사고,도로통제 로봇 비치 후 작업,,,
18,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),차량 미통제로 인한 교통사고,양방향 도로통제,,,
18,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),차량 미통제로 인한 교통사고,삼각라바콘 설치,,,
18,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),차량 미통제로 인한 교통사고,사전 현장 교통 상황 파악,,,
18,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),차량 미통제로 인한 교통사고,도로통제 매뉴얼 교육 및 준수,,,
19,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),산소 부족 및 유해가스에 의한 질식,송풍기 작동 후 작업,,,
19,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),산소 부족 및 유해가스에 의한 질식,2인1조 작업,,,
19,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),산소 부족 및 유해가스에 의한 질식,구조용삼각대 설치 후 작업,,,
19,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),산소 부족 및 유해가스에 의한 질식,산소 및 복합가스농도 측정 및 계측기 주기적 검교정 시행,,,
20,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),맨홀 작업시 유지보수자 떨어짐,구조용 삼각대 비치 및 코레일 작업안전 수칙 준수 (전기-14 맨홀 작업수칙),,,
21,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),맨홀 내 구조물 신체접촉으로 인한 부딪힘,안전보호구착용,,,
21,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,밀폐공간보건 작업(수전선로 점검/지중),맨홀 내 구조물 신체접촉으로 인한 부딪힘,적정 조도 확보,,,
22,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,설비간 이동 시 구조물 접촉에 의한 부딪힘,이동 시 전방 주시 철저,,,
22,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,설비간 이동 시 구조물 접촉에 의한 부딪힘,지적확인 환호응답 철저,,,
22,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,설비간 이동 시 구조물 접촉에 의한 부딪힘,안전보호구 착용,,,
23,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"GIS 작업시 미끄러짐 및 걸림에 의한 넘어짐, 부딪힘, 떨어짐",안전보호구 착용,,,
23,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"GIS 작업시 미끄러짐 및 걸림에 의한 넘어짐, 부딪힘, 떨어짐",우천·빙설 시 작업 지양,,,
23,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"GIS 작업시 미끄러짐 및 걸림에 의한 넘어짐, 부딪힘, 떨어짐",이동 시 자세 낮춤,,,
23,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"GIS 작업시 미끄러짐 및 걸림에 의한 넘어짐, 부딪힘, 떨어짐",웨어러블 조끼 활용,,,
24,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,사다리 승하강 중 떨어짐,사다리 사전점검 및 안전지지대 설치,,,
24,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,사다리 승하강 중 떨어짐,안전보호구 착용,,,
24,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,사다리 승하강 중 떨어짐,2인1조 작업,,,
24,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,사다리 승하강 중 떨어짐,미끄럼 방지 테이프 부착,,,
25,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,함체 도어취급시 손 끼임,안전장갑 착용,,,
25,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,함체 도어취급시 손 끼임,적정 조도 확보,,,
26,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,현장설비 투/개방 시험시 기기 링크 등 활동부에 부딪힘 및 조작제어전원 오동작으로 인한 끼임,LOCAL 취급,,,
26,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,현장설비 투/개방 시험시 기기 링크 등 활동부에 부딪힘 및 조작제어전원 오동작으로 인한 끼임,지적확인 환호응답 철저,,,
26,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,현장설비 투/개방 시험시 기기 링크 등 활동부에 부딪힘 및 조작제어전원 오동작으로 인한 끼임,링크 등 활동부 점검 시에는 조작제어 전원 OFF,,,
27,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,SF6 가스 주입 작업시 가스 압력으로 인한 물체와의 부딪힘 및 넘어짐,가스 주입 후 밸브 잠금 철저,,,
27,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,SF6 가스 주입 작업시 가스 압력으로 인한 물체와의 부딪힘 및 넘어짐,가스 누기 확인,,,
27,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,SF6 가스 주입 작업시 가스 압력으로 인한 물체와의 부딪힘 및 넘어짐,밸브 잠금 방향 표시 확인,,,
27,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,SF6 가스 주입 작업시 가스 압력으로 인한 물체와의 부딪힘 및 넘어짐,가스 주입시 호스 밸브/호스/주입구 간 체결 확인 철저,,,
27,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,SF6 가스 주입 작업시 가스 압력으로 인한 물체와의 부딪힘 및 넘어짐,안전장갑 착용,,,
28,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,상부작업자 공구집 착용 및 수납 철저,,,
28,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,안전보호구 착용,,,
28,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,상/하부 작업자간 협의 철저 및 작업 반경 내 접근 금지,,,
29,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,가압부에 작업공구 및 신체접촉으로 인한 감전,안전보호구(절연장갑) 착용,,,
29,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,가압부에 작업공구 및 신체접촉으로 인한 감전,검전기로 단전 확인 후 작업,,,
29,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,가압부에 작업공구 및 신체접촉으로 인한 감전,작업장 주변 불필요한 금속성 물질 비치 금지,,,
29,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,가압부에 작업공구 및 신체접촉으로 인한 감전,절연공구 사용,,,
30,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,계기용 변성기 2차 단자함 점검 중 취급부주의로 인한 감전,PT,,,
30,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,계기용 변성기 2차 단자함 점검 중 취급부주의로 인한 감전,"CT 케이블 결선 작업 전 검전기로 단전 여부 확인 및 2차단자 취급주의(PT: 단락금지, CT: 개방금지)",,,
31,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"계통숙지 오류, 단전미 확인, 접지 미설치에 의한 감전",계통 숙지,,,
31,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"계통숙지 오류, 단전미 확인, 접지 미설치에 의한 감전",접촉식 검전기 실부하 테스트 후 사용,,,
31,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"계통숙지 오류, 단전미 확인, 접지 미설치에 의한 감전",개인 활선 경보기 착용,,,
31,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"계통숙지 오류, 단전미 확인, 접지 미설치에 의한 감전",지적확인 환호응답,,,
31,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"계통숙지 오류, 단전미 확인, 접지 미설치에 의한 감전",접지 체결,,,
31,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"계통숙지 오류, 단전미 확인, 접지 미설치에 의한 감전","작업구간 표시(안전띠, 경광등)",,,
31,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,"계통숙지 오류, 단전미 확인, 접지 미설치에 의한 감전",안전보호구 착용,,,
32,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,피뢰기 작업 전 미단전으로 인한 유도전류에 의한 감전,활선경보기 및 절연장갑 착용,,,
32,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,피뢰기 작업 전 미단전으로 인한 유도전류에 의한 감전,전기위험표지 및 활선표시기 부착,,,
32,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,피뢰기 작업 전 미단전으로 인한 유도전류에 의한 감전,검전기로 단전 확인 후 작업 및 접지 취부,,,
33,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,차단기 수동 차징시 중량물 반복 조작으로 인한 근골격계 손상,작업 전 스트레칭 실시,,,
34,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,덕트 커버 맞춤 불량(단차)으로 인한 넘어짐,안전보호구 착용,,,
34,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,덕트 커버 맞춤 불량(단차)으로 인한 넘어짐,이동 시 전방 주시 철저,,,
35,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,MSDS 물질(SF6 가스 및 녹 제거제) 취급에 의한 눈 및 피부 손상,"안전보호구(보안경, 마스크)착용",,,
35,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,MSDS 물질(SF6 가스 및 녹 제거제) 취급에 의한 눈 및 피부 손상,라텍스 장갑 착용,,,
35,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,MSDS 물질(SF6 가스 및 녹 제거제) 취급에 의한 눈 및 피부 손상,작업완료 후 라텍스장갑 벗고 보안경 벗을 것(장갑에 묻은 도전그리스 눈 접촉우려),,,
35,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,GIS 및 개폐기류 점검,MSDS 물질(SF6 가스 및 녹 제거제) 취급에 의한 눈 및 피부 손상,유해화학물질 경고표지 부착,,,
36,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,현장설비 투/개방 시험시 기기 링크 등 활동부에 부딪힘 및 끼임,안전교육 및 위험예지훈련실시,,,
36,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,현장설비 투/개방 시험시 기기 링크 등 활동부에 부딪힘 및 끼임,2인1조 작업,,,
36,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,현장설비 투/개방 시험시 기기 링크 등 활동부에 부딪힘 및 끼임,안전보호구 착용,,,
36,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,현장설비 투/개방 시험시 기기 링크 등 활동부에 부딪힘 및 끼임,수동 취급 및 작업 전 조작전원 OFF,,,
37,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"LDS 및 부하개폐기 상부 작업 및 이동 시 습기 및 설비 걸림에 의한 넘어짐, 떨어짐",안전보호구 착용,,,
37,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"LDS 및 부하개폐기 상부 작업 및 이동 시 습기 및 설비 걸림에 의한 넘어짐, 떨어짐",우천·빙설 시 작업 지양,,,
37,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"LDS 및 부하개폐기 상부 작업 및 이동 시 습기 및 설비 걸림에 의한 넘어짐, 떨어짐",설비 간 이동 시 발 걸림 구조물 확인 철저 후 이동,,,
37,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"LDS 및 부하개폐기 상부 작업 및 이동 시 습기 및 설비 걸림에 의한 넘어짐, 떨어짐",주상안전대 안전띠 정리 후 이동,,,
37,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"LDS 및 부하개폐기 상부 작업 및 이동 시 습기 및 설비 걸림에 의한 넘어짐, 떨어짐",추락방지대 및 웨어러블 조끼 활용,,,
38,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,LDS 및 부하개폐기 승하강 중 떨어짐 및 구조물 부딪힘,안전보호구 착용,,,
38,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,LDS 및 부하개폐기 승하강 중 떨어짐 및 구조물 부딪힘,작업 전 스트레칭 실시,,,
38,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,LDS 및 부하개폐기 승하강 중 떨어짐 및 구조물 부딪힘,안전교육 및 위험예지 훈련,,,
38,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,LDS 및 부하개폐기 승하강 중 떨어짐 및 구조물 부딪힘,추락방지대 및 웨어러블 조끼 활용,,,
39,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,상부작업자 공구집 착용 및 수납 철저,,,
39,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,안전보호구 착용,,,
39,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,상부 작업시 공구류 낙하에 의한 하부 작업자 맞음,상/하부 작업자간 협의 철저 및 상부작업 반경 내 접근 금지,,,
40,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,가압부에 작업공구 및 신체접촉으로 인한 감전,안전보호구(절연장갑) 착용,,,
40,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,가압부에 작업공구 및 신체접촉으로 인한 감전,검전기로 단전 확인 및 접지걸이 설치 후 작업,,,
40,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,가압부에 작업공구 및 신체접촉으로 인한 감전,절연공구 사용,,,
41,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",계통 숙지,,,
41,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",접촉식 검전기 실부하 테스트 후 사용,,,
41,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",개인 활선 경보기 착용,,,
41,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",지적확인 환호응답,,,
41,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전",접지 체결,,,
41,고속전기사업단,오송고속광역전기사업소,신청주변전사업소,LDS 및 부하개폐기 점검,"계통숙지 오류, 단전 미확인, 접지 미설치에 의한 감전","작업구간표시 (안전띠, 경광등)",,,
